id,travel_gap_2013,travel_gap_2014,travel_gap_2015,travel_gap,booking_count,frequency_count_2013,frequency_count_2014,frequency_count_2015,frequency_count,revenue_count_2013,revenue_count_2014,revenue_count_2015,revenue_count,duty_free_count_2013,duty_free_count_2014,duty_free_count_2015,duty_free_count
19940500001653,2084400,1192320,1603200,2910786,1,9,11,10,10,4193.65,2101.84,3761.75,10057.24,0,0,0,0
19940500001669,1667520,1785600,2540160,2570400,2,11,16,6,11,2198.31,3121.76,1484.22,6804.29,0,658,213,871
19940500001671,-1,-1,-1,-1,0,0,0,2,0,0,0,159.9,159.9,0,0,0,0
19940500001692,3744000,-1,-1,10479085,0,4,2,2,2,7169.63,335.46,249.81,7754.9,0,0,0,0
19940500001709,4406400,-1,6220800,10738285,0,5,0,3,2,468.93,0,313.43,782.36,0,0,0,0
19940500001719,-1,-1,-1,-1,0,0,0,2,0,0,0,726.06,726.06,0,0,0,0
19940500001722,-1,-1,-1,-1,0,0,0,2,0,0,0,333.77,333.77,0,0,446,446
19940500001732,-1,-1,3559680,9892800,0,1,2,6,3,152.94,248.46,591.34,992.74,0,0,0,0
19940500001736,1733760,1693440,1428480,1838297,2,16,16,16,16,3118.45,3103.51,3621.41,9843.37,0,0,0,0
19940500001737,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
19940500001775,625536,760877,1280290,872228,0,51,32,23,35,11001.32,9053.79,7035.61,27090.72,0,0,0,0
19940500001777,-1,-1,-1,10497600,0,0,2,1,1,0,728.96,348.49,1077.45,0,0,0,0
19940500001793,2315520,-1,-1,7874742,0,6,0,2,2,1024.12,0,1041.84,2065.96,0,0,0,0
19940500001794,2782080,2160000,2443885,2866096,0,11,11,8,10,1648.23,1678.94,1278.12,4605.29,0,0,0,0
19940500001796,4867200,4752000,2188800,3997963,0,7,6,10,7,1686.24,1015.25,1760.15,4461.64,0,0,0,0
19940500001808,2923200,3591771,4838400,4250880,1,7,8,6,7,967.87,1165.76,928.0,3061.63,0,0,0,0
19940500001811,650057,1464252,1367152,1206671,0,22,20,18,20,1438.48,275.98,585.46,2299.92,0,0,0,0
19940500001822,-1,-1,8726400,11923200,0,1,2,3,2,161.62,396.72,364.98,923.32,260,0,0,260
19940500001828,939251,1267200,2102400,1311026,0,32,25,13,23,5483.34,3965.31,2015.78,11464.43,0,0,0,0
19940500001836,1830109,1478400,1060992,1473428,0,12,19,26,19,2775.48,5215.8,7757.18,15748.46,0,0,0,0
19940500001873,-1,2566080,4717440,3422400,0,2,11,6,6,116.62,752.74,395.59,1264.95,0,0,0,0
19940500001923,576000,6220800,7171200,6177600,0,4,5,4,4,325.84,2148.45,2165.85,4640.14,0,0,0,0
19940500001929,-1,-1,-1,15768000,0,1,2,2,1,473.06,1389.12,976.62,2838.8,0,0,0,0
19940500001949,-1,8337600,-1,12389760,0,1,3,2,2,143.57,415.1,330.46,889.13,0,0,0,0
19940500001974,1589760,6451200,2428800,4088084,0,6,4,10,6,754.72,416.46,1287.82,2459.0,0,0,0,0
19940500001998,-1,-1,2039040,2039040,0,0,0,6,2,0,0,856.02,856.02,0,0,0,0
19940500002025,-1,-1,-1,-1,0,0,0,2,0,0,0,476.62,476.62,0,0,0,0
19940500002029,-1,-1,-1,-1,0,0,0,2,0,0,0,716.24,716.24,0,0,0,0
19940500002069,-1,-1,1785600,1785600,0,0,0,4,1,0,0,1188.83,1188.83,0,0,0,0
19940500002098,1099938,967122,799200,974136,2,27,32,33,30,9512.06,13426.9,10205.3,33144.26,1150,0,0,1150
19940500002110,5594400,2863542,806400,5340600,0,5,8,4,5,2085.42,2199.62,662.4,4947.44,0,0,0,0
19940500002134,3772800,3427200,-1,6979200,0,4,4,2,3,1786.82,1613.9,354.56,3755.28,0,0,0,0
19940500002144,4199040,374400,-1,5843781,0,6,4,2,4,1045.28,649.76,250.42,1945.46,0,0,0,0
19940500002165,7603200,5495040,7689600,6858830,5,5,6,3,4,1331.84,1722.07,839.42,3893.33,0,0,0,0
19940500002218,2133415,2639127,2956800,2545097,0,14,12,10,12,1970.78,1360.15,1663.53,4994.46,0,0,0,0
19940500002243,-1,2246400,4147200,4454400,0,0,4,6,3,0,800.5,2311.46,3111.96,0,0,0,0
19940500002273,-1,-1,-1,-1,0,0,0,2,0,0,0,113.62,113.62,0,0,0,0
19940500002299,-1,-1,-1,-1,0,0,0,2,0,0,0,333.64,333.64,0,0,0,0
19940500002301,-1,-1,-1,1612800,0,0,2,2,1,0,614.58,2864.22,3478.8,0,0,0,0
19940500002309,9979200,-1,3127680,8726400,1,3,1,6,3,733.04,254.32,936.47,1923.83,0,0,0,0
19940500002311,-1,5198400,3945600,6091200,0,2,7,4,4,1148.52,1389.8,718.4,3256.72,0,0,0,0
19940500002312,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
19940500002313,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
19940500002322,2496960,4334400,3749760,3835408,0,11,7,6,8,1016.0,811.87,368.08,2195.95,0,147,0,147
